Humidity,Temperature,Light Intensity Level,CO Level,cluster_ID,cluster_label
34.1,56.5,226.0,1.42,1,1
34.4,56.2,245.0,1.44,1,1
34.6,56.0,254.0,1.47,1,1
34.9,55.8,255.0,1.44,1,1
35.0,55.6,259.0,1.44,1,1
35.2,55.4,234.0,1.48,1,1
35.4,55.1,222.0,1.5,1,1
35.5,54.9,224.0,1.52,1,1
35.6,54.7,230.0,1.55,1,1
35.8,54.5,223.0,1.57,1,1
36.0,54.4,247.0,1.58,1,1
36.3,54.2,252.0,1.59,1,1
36.3,54.0,249.0,1.61,1,1
36.6,53.9,242.0,1.65,1,1
36.7,53.7,249.0,1.65,1,1
37.3,53.5,250.0,1.67,1,1
37.0,53.3,231.0,1.65,1,1
36.9,53.2,224.0,1.69,1,1
37.0,53.1,253.0,1.6,1,1
37.1,53.0,255.0,1.62,1,1
37.2,52.8,239.0,1.63,1,1
37.2,52.6,247.0,1.66,1,1
37.4,52.6,222.0,1.67,1,1
37.7,52.4,226.0,1.61,1,1
38.0,52.0,222.0,1.4,1,1
38.9,51.6,228.0,1.39,1,1
39.1,51.4,214.0,1.18,1,1
41.2,51.2,207.0,1.16,1,1
41.3,51.0,206.0,1.29,1,1
39.8,50.2,202.0,1.44,1,1
39.0,49.0,200.0,1.5,1,1
39.2,48.3,199.0,1.4,1,1
40.0,48.2,200.0,1.21,1,1
41.8,48.5,204.0,1.07,1,1
41.9,48.4,211.0,1.28,1,1
41.1,47.7,207.0,1.29,1,1
42.0,47.5,213.0,1.3,1,1
42.0,47.6,218.0,1.39,1,1
41.8,47.6,218.0,1.42,1,1
41.8,47.5,201.0,1.39,1,1
41.9,47.4,203.0,1.43,1,1
42.2,47.3,207.0,1.47,1,1
42.6,47.2,214.0,1.48,1,1
42.9,47.1,220.0,1.54,1,1
43.1,47.1,215.0,1.54,1,1
43.1,47.0,208.0,1.58,1,1
43.2,46.9,206.0,1.63,1,1
43.5,46.8,203.0,1.59,1,1
43.7,46.8,210.0,1.64,1,1
43.8,46.7,209.0,1.67,1,1
43.7,46.6,204.0,1.67,1,1
43.7,46.5,199.0,1.69,1,1
44.1,46.5,198.0,1.67,1,1
44.3,46.4,196.0,1.69,1,1
44.5,46.2,195.0,1.68,1,1
45.0,46.0,197.0,1.48,1,1
47.0,45.9,194.0,1.54,1,1
45.5,45.7,198.0,1.53,1,1
